,time, system, entity , mmsi, msg_in, msg_out,iter_time
0,1710855535.423556, caravela,7,111,6,5,
1,1710855540.566166, caravela,7,111,13,5,5.1426098346710205
2,1710855547.365903, caravela,7,111,22,8,6.799736976623535
3,1710855550.465834, caravela,7,111,9,3,3.099931001663208
4,1710855554.515743, caravela,7,111,13,5,4.0499091148376465
5,1710855559.616207, caravela,7,111,17,5,5.1004638671875
6,1710855562.71632, caravela,7,111,12,3,3.1001131534576416
7,1710855566.817263, caravela,7,111,13,4,4.100942850112915
8,1710855574.966077, caravela,7,111,25,11,8.14881420135498
9,1710855581.116166, caravela,7,111,18,9,6.1500890254974365
10,1710855587.366187, caravela,7,111,19,9,6.250020980834961
11,1710855591.46591, caravela,7,111,14,5,4.099722862243652
12,1710855596.616082, caravela,7,111,15,7,5.150171995162964
13,1710855603.766531, caravela,7,111,21,9,7.15044903755188
14,1710855611.066314, caravela,7,111,22,8,7.299782991409302
15,1710855615.166701, caravela,7,111,14,4,4.100387096405029
16,1710855618.21852, caravela,7,111,11,3,3.05181884765625
17,1710855626.416087, caravela,7,111,26,13,8.197566986083984
18,1710855630.516431, caravela,7,111,13,4,4.100344181060791
19,1710855633.567994, caravela,7,111,11,3,3.051563024520874
20,1710855637.716352, caravela,7,111,13,4,4.14835786819458
21,1710855640.816081, caravela,7,111,12,3,3.099729061126709
22,1710855643.865883, caravela,7,111,9,3,3.04980206489563
23,1710855646.916106, caravela,7,111,9,3,3.050222873687744
24,1710855652.065947, caravela,7,111,15,7,5.149841070175171
25,1710855657.166316, caravela,7,111,15,5,5.100368976593018
26,1710855666.415945, caravela,7,111,29,13,9.249629020690918
27,1710855674.615867, caravela,7,111,25,13,8.19992184638977
28,1710855682.865939, caravela,7,111,24,12,8.250072002410889
29,1710855686.967373, caravela,7,111,4,4,4.101433992385864
30,1710855690.066714, caravela,7,111,3,3,3.0993411540985107
31,1710855696.216086, caravela,7,111,6,6,6.149371862411499
32,1710855700.26638, caravela,7,111,4,4,4.0502941608428955
33,1710855703.367084, caravela,7,111,3,3,3.1007039546966553
34,1710855707.516918, caravela,7,111,4,4,4.149833917617798
35,1710855712.715871, caravela,7,111,5,5,5.198953151702881
36,1710855715.766335, caravela,7,111,3,3,3.050463914871216
37,1710855718.815826, caravela,7,111,3,3,3.0494909286499023
38,1710855723.916116, caravela,7,111,5,5,5.100290060043335
39,1710855728.015975, caravela,7,111,4,4,4.099858999252319
40,1710855731.115721, caravela,7,111,3,3,3.099745988845825
41,1710855737.215837, caravela,7,111,6,6,6.100116014480591
42,1710855740.266126, caravela,7,111,3,3,3.0502889156341553
43,1710855743.315657, caravela,7,111,3,3,3.0495309829711914
0,1710855533.307383, caravela-2,7,112,7,4,
1,1710855537.308239, caravela-2,7,112,7,3,4.000855922698975
2,1710855541.407354, caravela-2,7,112,8,5,4.0991151332855225
3,1710855545.507706, caravela-2,7,112,9,4,4.100351810455322
4,1710855548.557188, caravela-2,7,112,6,3,3.0494821071624756
5,1710855552.657407, caravela-2,7,112,9,4,4.100219011306763
6,1710855556.757286, caravela-2,7,112,10,5,4.099879026412964
7,1710855559.907343, caravela-2,7,112,8,3,3.150056838989258
8,1710855565.008088, caravela-2,7,112,12,5,5.10074520111084
9,1710855573.208178, caravela-2,7,112,16,8,8.200089931488037
10,1710855579.407374, caravela-2,7,112,12,6,6.199195861816406
11,1710855585.557409, caravela-2,7,112,14,6,6.15003514289856
12,1710855589.707141, caravela-2,7,112,9,4,4.149731874465942
13,1710855594.857226, caravela-2,7,112,10,5,5.150084972381592
14,1710855597.95727, caravela-2,7,112,6,3,3.100044012069702
15,1710855602.057095, caravela-2,7,112,8,4,4.099825143814087
16,1710855606.158645, caravela-2,7,112,8,4,4.101549863815308
17,1710855609.211487, caravela-2,7,112,8,3,3.052842140197754
18,1710855613.357789, caravela-2,7,112,10,4,4.146301984786987
19,1710855616.40729, caravela-2,7,112,7,3,3.0495009422302246
20,1710855627.658473, caravela-2,7,112,26,13,11.251183032989502
21,1710855630.761461, caravela-2,7,112,7,3,3.1029880046844482
22,1710855634.857425, caravela-2,7,112,10,4,4.095963954925537
23,1710855638.007151, caravela-2,7,112,8,3,3.149725914001465
24,1710855641.107208, caravela-2,7,112,6,3,3.1000571250915527
25,1710855645.207229, caravela-2,7,112,8,4,4.100020885467529
26,1710855650.307342, caravela-2,7,112,10,5,5.100113153457642
27,1710855654.3575, caravela-2,7,112,8,4,4.0501580238342285
